FAA Manufacturer,FAA Model,Remap,Type
,,,J328
,,,UL45
,,,UL45
,,,TR55
,,,TR55
,,,UL45
,,,TR55
,,,TR55
,,,TR55
,,,CE22
,,,ELSP
,,,PETR
,,,BMAN
*,HORNET,HRNT,HRNT
,,,WSP
,,,A9
,,,A9
,,,JCRU
,,,GAZL
,,,GAZL
,,,RF9
,,,XNON
,,,MIDR
,,,MIDR
,,,JACE
,,,SACE
,,,ARKS
,,,ARKS
,,,ARKS
,,,ARKS
,,,CUB2
,,,ACRO
*,"ACROSPORT II,EAA ACRO SPORT II",ACR2,ACR2
,,,COUG
,,,JACE
,,,SACE
,,,ACRO
,,,SORA
,,,SORA
,,,T211
,,,LCA
,,,LCA
,,,RA14
,,,RA14
,,,RA17
,,,A500
,,,A500
,,,A700
,,,A700
,,,A500
,,,T211
,,,BUCA
,,,C21T
,,,C10T
,,,C10T
,,,BUCA
,,,ADVN
Aea Research Pty Ltd,EXPLORER 350R,EX5T,EX5T
,,,MAVR
,,,AM3
,,,AMX
,,,G222
,,,AMX
,,,TOR
,,,AM3
,,,LA60
,,,LA60
,,,LA60
,,,AMX
,,,LA60
,,,AMX
,,,F260
,,,F260
,,,L90
,,,M326
,,,M339
,,,L90
,,,F260
,,,LA60
,,,F260
,,,F260
,,,F26T
,,,M346
,,,M346
,,,M346
,,,LA60
,,,LA6T
,,,LA60
,,,LA6T
,,,AC50
,,,AC52
,,,AC56
,,,AC68
,,,AC68
,,,AC68
,,,AC72
,,,AC56
,,,AC68
,,,AC56
,,,AC68
,,,AC68
,,,AE45
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo","L39,L-39C",L39,L39
,,,L159
,,,L60
,,,BU31
,,,MG15
,,,L29
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo","L-29 DELFIN,L29,L-29C,L29C DELFIN",L29,L29
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo,Aero Vodochody/pride Aircraft","L39C,L39,L-39,L39CT,L-39MS,L-39ZA,L-39ZO,ZERO-L39ZO,L-39 ALBATROS,AERO-L39ZO",L39,L39
,,,L59
,,,L60
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo",L-139,L39,L39
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo","L-159E,VODOCHODY L-159A",L159,L159
,,,L159
,,,MG15
,,,MG15
,,,BU31
,,,A270
,,,A270
"Aero Vodochody,Aerovodochody,Aero,Aero (2),Aero At Sp Zoo",AT-4,AAT4,AAT4
,,,AAT3
,,,P220
,,,P220
*,AVENTURA II,AVTR,AVTR
,,,ZEP2
,,,AB95
,,,AB11
,,,AB15
,,,AB18
Aero Commander,"100-180,112,100,DARTER 100/150",VO10,VO10
Aero Commander,200D,M200,M200
Aero Commander,"500 S,500,520,500-A,500-U",AC50,AC50
